Name	Description	A1R3	C2R3	F2R3	A2R3	D2R3	E1R3
Q86UD5	comp14749_c0_seq1	98	26	42	30	65	48
O75132	comp14868_c0_seq1	22	9	11	13	41	33
Q86X02	comp14874_c0_seq1	243	67	109	29	84	76
Q68CR1	comp14915_c0_seq1	132	31	48	58	103	94
Q00973	comp14922_c0_seq1	8	18	13	8	36	26
O75143	comp15002_c0_seq1	155	52	60	27	86	77
P17252	comp15061_c0_seq1	302	166	261	64	134	79
Q96F25	comp15344_c0_seq1	76	44	41	24	53	28
Q9NV56	comp15461_c0_seq1	57	31	32	10	18	17
Q9UFN0	comp15538_c0_seq1	66	22	31	21	36	28
Q9BZE3	comp15836_c0_seq1	210	66	65	18	48	39
Q9NW64	comp15968_c0_seq1	164	89	82	43	74	50
Q9NVP4	comp16011_c0_seq1	44	36	39	35	64	52
P23588	comp16033_c0_seq1	562	150	200	92	250	159
Q9UNA4	comp16068_c0_seq1	88	21	53	12	35	14
Q14807	comp16089_c0_seq1	60	18	28	12	36	39
P55087	comp16132_c0_seq1	18	11	17	7	24	21
Q9UBC1	comp16209_c0_seq1	72	19	31	14	45	39
O94782	comp16410_c0_seq1	46	20	19	9	20	18
Q96MH6	comp16505_c0_seq1	122	22	45	18	41	32
Q7Z6V5	comp16565_c0_seq1	38	17	27	11	31	15
O60258	comp16573_c0_seq1	177	27	92	28	99	81
Q6IEG0	comp16585_c0_seq1	133	37	49	21	57	57
A6NEQ2	comp16710_c0_seq1	45	17	33	14	24	21
Q9ULM3	comp16744_c1_seq1	33	20	32	15	22	24
Q5VVJ2	comp16748_c0_seq1	104	32	42	11	54	51
Q9Y2B0	comp16758_c0_seq1	155	68	86	57	121	112
Q9NZN8	comp16764_c0_seq1	313	93	132	74	189	140
A5D8V7	comp16801_c0_seq1	314	64	150	76	186	238
P49902	comp16819_c0_seq2	702	303	421	92	301	224
Q8IWB9	comp16826_c0_seq1	721	303	489	159	342	278
Q8N0U4	comp16838_c0_seq1	103	33	48	34	71	72
Q9H3F6	comp16841_c0_seq1	438	161	247	65	149	149
Q9Y4X5	comp16843_c0_seq1	848	373	549	177	486	357
Q68E01	comp16844_c0_seq1	416	153	175	95	242	160
Q96MW1	comp16847_c0_seq1	200	57	100	32	69	68
Q8NDZ4	comp16886_c0_seq1	134	69	77	58	144	129
Q9Y236	comp16914_c0_seq1	183	81	126	122	275	196
Q15291	comp16931_c0_seq2	408	139	226	76	224	216
Q8N1E6	comp16959_c0_seq1	138	68	84	58	153	131
O95476	comp16976_c0_seq1	140	97	98	51	136	115
Q96EM0	comp17004_c0_seq1	379	127	214	130	250	191
Q96EU6	comp17038_c0_seq1	281	117	136	73	132	108
Q92539	comp17052_c0_seq1	697	219	372	113	288	191
Q9Y224	comp17066_c0_seq1	160	56	73	46	102	89
Q5NDL2	comp17069_c0_seq2	133	70	82	63	128	82
P60891	comp17127_c0_seq1	436	203	300	107	215	132
Q9BRP7	comp17145_c0_seq1	151	100	112	60	210	137
Q9ULV1	comp17173_c0_seq1	334	162	248	94	230	167
Q8N4P2	comp17195_c0_seq2	346	120	205	80	202	178
Q9Y2I8	comp17201_c0_seq1	328	157	225	88	177	140
Q99487	comp17204_c0_seq2	205	112	148	89	142	142
P51116	comp17227_c0_seq1	516	185	317	138	289	242
P30085	comp17238_c0_seq1	153	53	63	57	97	88
Q14247	comp17258_c0_seq1	1126	346	485	199	550	476
Q3KNV8	comp17263_c0_seq1	358	137	155	45	95	91
Q5TCS8	comp17287_c0_seq1	317	124	202	119	275	259
H3BNL1	comp17357_c0_seq1	143	38	78	38	106	109
Q8IZL9	comp17362_c0_seq1	149	82	115	59	118	83
Q5VT52	comp17369_c0_seq1	469	204	242	128	235	188
Q9Y237	comp17390_c0_seq1	144	56	86	72	121	101
Q01780	comp17395_c0_seq1	362	149	195	73	194	125
Q92900	comp17446_c0_seq1	1169	616	736	240	409	279
Q8TCT6	comp17516_c0_seq1	434	273	350	69	157	93
Q8NBZ0	comp17522_c0_seq1	120	53	66	39	93	100
Q5TC63	comp17554_c0_seq1	253	85	153	61	181	154
Q9GZU0	comp17585_c0_seq1	131	42	85	26	118	73
P29475	comp17588_c0_seq1	1961	633	899	46	162	105
Q9Y2R4	comp17599_c0_seq1	391	96	160	69	217	184
Q8IVB5	comp17616_c0_seq2	352	95	168	56	126	106
Q6PID8	comp17620_c0_seq1	112	62	82	45	97	73
P42768	comp17648_c0_seq1	610	283	413	149	342	234
O60524	comp17675_c0_seq1	142	41	95	32	60	61
Q9HAV7	comp17676_c0_seq1	414	203	290	101	198	161
Q96P70	comp17694_c0_seq1	502	217	268	130	266	211
P27544	comp17699_c0_seq1	306	169	285	111	215	124
P40937	comp17873_c0_seq1	186	80	110	77	114	86
Q86YJ7	comp17889_c0_seq2	369	117	171	91	231	231
Q9Y375	comp17895_c0_seq1	109	40	68	34	87	67
Q9HD40	comp17907_c0_seq1	279	77	128	67	165	143
Q8TDJ6	comp17969_c0_seq1	571	213	278	171	359	292
O60832	comp18017_c0_seq1	603	126	214	73	164	196
Q8WTW4	comp18043_c0_seq1	200	43	83	48	104	116
P49454	comp18046_c0_seq1	321	47	108	74	140	170
Q5TA50	comp18084_c0_seq1	110	51	80	33	99	93
Q2NL98	comp18090_c0_seq1	105	66	72	53	64	62
P56589	comp18120_c0_seq1	158	62	83	56	150	130
Q86UD1	comp18130_c0_seq1	73	82	86	45	94	75
Q53H82	comp18135_c0_seq2	103	53	72	16	63	49
A4FU69	comp18185_c0_seq2	370	141	200	70	220	163
Q8TB22	comp18194_c0_seq1	807	277	402	144	268	267
O95487	comp18253_c0_seq1	2604	1014	1192	580	1051	777
P48730	comp18261_c0_seq1	1860	808	1057	430	1000	797
Q9Y324	comp18272_c0_seq1	395	162	254	100	255	208
Q92947	comp18275_c1_seq1	1045	353	464	194	437	405
Q8N300	comp18280_c0_seq1	211	88	139	81	143	149
Q7LBR1	comp18306_c0_seq1	634	291	339	123	327	291
Q99932	comp18321_c0_seq1	209	88	165	88	190	199
P54826	comp18326_c0_seq1	463	173	306	162	426	300
P49721	comp18331_c0_seq1	296	102	156	88	190	193
Q14566	comp18334_c0_seq1	1122	305	470	182	520	498
O14645	comp18336_c0_seq1	385	128	235	89	233	242
Q12797	comp18342_c0_seq1	483	201	290	172	386	345
P63151	comp18350_c0_seq1	475	157	258	173	433	355
P61006	comp18363_c0_seq1	856	273	474	180	601	515
Q5T0N5	comp18387_c0_seq1	2079	701	1094	397	949	767
Q1AE95	comp18391_c0_seq1	104	39	72	47	136	106
O60683	comp18395_c0_seq1	204	125	165	110	222	155
Q96E52	comp18401_c0_seq2	220	110	133	69	204	142
Q04828	comp18425_c0_seq2	426	130	191	126	209	243
O95782	comp18428_c0_seq1	1434	743	987	453	885	665
P07954	comp18433_c0_seq1	1385	390	556	153	416	371
Q02363	comp18442_c0_seq1	411	172	284	146	250	236
P78413	comp18488_c0_seq1	2770	943	1491	581	1314	1243
P49720	comp18493_c0_seq1	1178	711	728	499	957	765
P37235	comp18501_c0_seq1	1023	520	667	356	938	826
P47755	comp18502_c0_seq1	1471	582	842	418	1097	881
P21549	comp18510_c0_seq1	4607	2069	2201	253	491	443
O43747	comp18512_c0_seq1	2577	1222	1445	817	1534	1181
Q96LD1	comp18518_c0_seq1	1973	856	1153	414	1173	993
Q9NS69	comp18524_c0_seq1	691	362	460	345	565	466
P07305	comp18534_c0_seq1	1109	380	543	397	821	828
P61604	comp18536_c0_seq1	1076	660	685	545	844	710
Q9HAP6	comp18537_c0_seq1	2554	1616	1900	1391	2787	1987
P03952	comp18539_c0_seq1	20	44	324	3309	3356	2892
P62269	comp18542_c0_seq1	2380	1014	1293	1035	1878	1533
P27449	comp18543_c0_seq1	3614	1877	2450	1548	3152	2701
P08708	comp18544_c0_seq1	1894	1010	1189	673	1202	1180
Q15744	comp18549_c0_seq1	84371	54638	66456	45146	89691	72267
P11940	comp18550_c0_seq1	147464	93017	97603	50600	82901	68887
Q9BSB4	comp18552_c0_seq1	585	358	422	343	535	439
P30041	comp18555_c0_seq1	4819	1868	2529	1043	2376	1920
Q6P1M3	comp18556_c0_seq1	19127	8211	10058	6484	11931	9720
P31153	comp18557_c0_seq1	19490	7078	11076	1099	2662	2595
P68104	comp18558_c0_seq1	35089	16030	20427	13396	28025	24732
O95182	comp18560_c0_seq1	1196	585	803	490	921	787
P62750	comp18561_c0_seq1	2295	1154	1634	739	1396	1261
P40429	comp18564_c0_seq1	3464	1193	1673	740	1733	1720
Q9HB40	comp18572_c0_seq1	2346	1221	1444	954	1758	1318
Q9BRA0	comp18573_c0_seq1	1012	413	547	244	582	523
Q15084	comp18575_c0_seq1	2461	831	1128	970	1706	1938
P46777	comp18578_c0_seq1	6857	2715	3684	1812	3772	3264
P35869	comp18589_c0_seq1	2144	856	1467	823	1792	1698
P62829	comp18590_c0_seq1	2439	1277	1490	971	1854	1603
O95415	comp18597_c0_seq1	570	297	328	170	387	289
P63096	comp18600_c0_seq1	2264	1139	1546	678	1384	1075
P62942	comp18601_c0_seq1	1078	515	556	460	947	747
Q92519	comp18607_c1_seq1	2530	1394	1807	520	1398	1123
Q9Y520	comp18615_c0_seq1	10196	3651	5308	2077	4246	3129
Q16236	comp18616_c0_seq1	1791	619	990	344	1640	778
P10599	comp18618_c0_seq1	1260	606	727	447	888	794
Q6PCB6	comp18632_c1_seq1	371	212	255	129	328	231
Q13887	comp18635_c0_seq1	969	496	810	323	987	864
O14770	comp18650_c0_seq1	1181	484	882	284	565	486
Q9BZD2	comp18654_c0_seq1	941	398	560	266	682	543
Q9H8Y8	comp18656_c0_seq1	967	399	483	316	654	604
P62136	comp18660_c0_seq1	1225	678	858	397	1066	788
P17050	comp18664_c0_seq1	842	388	521	288	575	568
Q00577	comp18667_c0_seq1	12168	5200	7442	4125	8797	7723
P55061	comp18673_c0_seq1	3020	2154	2329	2001	3993	2961
P22314	comp18674_c0_seq1	2987	1036	1268	520	1241	1046
Q6P1A2	comp18683_c0_seq1	821	414	528	383	982	733
Q9BXW4	comp18686_c0_seq1	832	427	615	334	598	473
Q8N335	comp18688_c0_seq1	516	303	393	260	571	496
P36956	comp18690_c0_seq1	3177	1199	1701	859	1919	1474
P31350	comp18701_c0_seq1	574	238	321	235	430	465
P20042	comp18703_c0_seq1	1871	966	1294	566	899	985
Q99470	comp18704_c0_seq1	674	347	426	246	479	408
P07237	comp18705_c0_seq1	7474	2486	4197	1865	4066	3962
O43541	comp18706_c0_seq1	1335	799	841	505	1004	852
Q9Y3C0	comp18728_c0_seq1	229	115	141	73	169	131
Q9P2D7	comp18731_c0_seq1	747	255	477	171	396	385
Q8NI22	comp18734_c0_seq1	140	47	99	78	117	115
P28072	comp18742_c0_seq1	603	288	336	222	407	343
Q9Y2W6	comp18744_c0_seq1	919	384	498	296	605	468
Q9NQB0	comp18756_c0_seq2	695	268	413	79	236	171
P04179	comp18788_c0_seq2	681	347	535	213	399	361
Q9P021	comp18789_c0_seq1	85	41	58	38	62	54
O94812	comp18797_c0_seq1	1086	366	585	204	556	460
Q9UG01	comp18817_c0_seq1	813	274	390	159	312	319
O75400	comp18821_c0_seq1	1107	264	513	165	330	404
P51570	comp18822_c0_seq1	868	325	375	263	540	499
P13807	comp18832_c0_seq1	621	297	386	420	958	623
Q5TCY1	comp18849_c0_seq1	718	318	477	190	437	309
Q8N1F7	comp18863_c0_seq1	461	162	210	92	247	204
Q14738	comp18870_c0_seq1	540	210	416	130	366	254
Q8NE22	comp18879_c0_seq2	218	82	117	55	134	88
Q86WW8	comp18882_c0_seq1	157	50	79	32	106	78
Q9H9A5	comp18887_c0_seq1	362	130	180	91	201	171
P21291	comp18907_c0_seq1	75	40	47	54	103	90
Q86WC4	comp18908_c0_seq1	283	127	190	95	230	197
P42166	comp18910_c0_seq1	306	134	174	92	210	202
B2RV13	comp18916_c0_seq1	196	71	94	40	56	52
P22676	comp18920_c0_seq1	793	260	419	351	905	696
Q6ZNA5	comp18926_c0_seq1	215	84	138	55	159	93
P61981	comp18932_c0_seq1	3275	1886	2418	1356	2902	2453
Q8NHR9	comp18953_c0_seq2	109	71	104	44	80	114
Q8N539	comp18966_c0_seq1	861	472	1006	197	272	279
Q15464	comp18971_c0_seq2	701	208	316	99	331	234
Q99622	comp18976_c0_seq2	105	76	69	43	77	60
Q15185	comp18981_c0_seq1	575	267	364	218	467	484
Q14956	comp18985_c1_seq1	652	303	412	188	411	311
Q02410	comp18986_c0_seq2	1275	445	601	271	746	533
A1L167	comp18995_c0_seq1	383	175	228	103	249	265
Q7Z6J6	comp19005_c0_seq1	2693	1260	1727	1592	2978	2475
Q96KC2	comp19020_c0_seq1	149	52	93	47	106	92
Q9HCM4	comp19020_c1_seq1	644	231	406	193	492	417
Q14254	comp19026_c0_seq1	4661	2223	3098	1378	3445	2801
O14545	comp19031_c0_seq1	641	498	487	299	565	372
P50990	comp19058_c0_seq1	1117	491	576	396	681	623
Q6GMR7	comp19062_c0_seq1	394	179	236	156	366	257
P53999	comp19064_c0_seq2	192	70	103	75	116	124
Q8N5C7	comp19066_c0_seq1	2899	1485	1878	786	1640	1618
O75116	comp19106_c0_seq1	1160	312	572	237	718	627
P26639	comp19109_c0_seq1	1723	926	1102	444	830	758
O95238	comp19110_c0_seq1	3085	944	982	66	798	248
P43155	comp19116_c0_seq1	310	100	147	147	309	319
A2RU14	comp19117_c0_seq1	245	115	175	78	234	182
O96005	comp19139_c0_seq2	520	246	301	239	487	483
O14818	comp19144_c0_seq1	333	125	145	94	173	203
Q53H96	comp19165_c0_seq1	350	135	180	106	251	204
Q8TCT9	comp19176_c0_seq1	247	128	136	83	154	149
P52948	comp19201_c0_seq1	1686	637	855	324	734	521
O00267	comp19202_c0_seq1	1616	599	783	400	963	682
Q9Y285	comp19207_c0_seq1	612	310	409	143	267	214
P53680	comp19216_c0_seq1	572	268	346	169	447	392
Q5SYC1	comp19224_c1_seq1	221	103	141	114	269	239
Q7RTV0	comp19226_c0_seq1	88	37	49	31	59	44
Q9BSE4	comp19248_c0_seq1	449	245	283	126	303	226
Q2TAY7	comp19304_c1_seq1	441	178	247	139	264	230
Q8N3X1	comp19307_c0_seq1	582	218	281	96	290	195
Q14409	comp19336_c0_seq2	681	261	419	357	667	571
Q5VYJ5	comp19364_c0_seq1	12034	4985	6988	1593	3545	2951
Q96NG3	comp19375_c0_seq2	306	60	153	42	130	184
P60660	comp19378_c0_seq1	572	223	283	87	206	194
P46952	comp19380_c0_seq1	61	16	28	12	34	30
O15541	comp19409_c0_seq1	138	42	77	39	80	65
Q15814	comp19468_c0_seq1	63	31	36	23	55	25
Q8NHS3	comp19477_c0_seq1	131	68	98	40	87	74
P56817	comp19494_c0_seq1	1086	550	745	136	347	178
Q8IXH7	comp19511_c0_seq1	299	97	154	63	124	113
Q9Y303	comp19572_c0_seq1	289	111	141	73	150	154
Q08170	comp19591_c0_seq1	1160	401	490	226	603	521
Q14642	comp19699_c0_seq1	121	71	108	34	65	38
P09848	comp19788_c0_seq1	184	64	73	58	142	91
P23610	comp19795_c0_seq1	188	77	89	80	142	149
Q56P03	comp19802_c0_seq2	127	48	73	35	98	102
Q9Y2M2	comp19815_c0_seq1	160	115	126	54	103	79
Q96HJ9	comp19902_c0_seq2	53	36	37	30	46	33
P33240	comp19939_c0_seq1	538	225	287	167	384	288
Q14469	comp19946_c0_seq1	468	149	289	135	308	341
O76021	comp19947_c0_seq1	186	116	147	70	126	99
Q13191	comp19972_c0_seq1	543	373	423	110	180	109
Q8WUK0	comp20088_c0_seq2	238	151	165	51	143	92
Q9Y4R8	comp20095_c0_seq2	139	63	67	34	89	66
Q9UBC0	comp20136_c0_seq2	137	69	63	37	87	59
Q9BYN0	comp20167_c0_seq1	39	24	33	22	52	29
Q9P2R6	comp20190_c0_seq1	596	148	304	102	279	201
P55851	comp20193_c0_seq1	1081	654	827	167	338	287
Q9UNP9	comp20204_c0_seq1	113	63	87	46	84	71
Q9HBH1	comp20212_c0_seq1	116	58	73	48	87	61
Q9NVA1	comp20225_c0_seq1	510	153	274	147	374	407
Q9BQ50	comp20227_c0_seq1	37	24	24	32	44	30
P49736	comp20347_c0_seq1	532	129	187	104	191	155
O00391	comp20404_c0_seq1	215	100	132	89	114	103
Q14541	comp20425_c0_seq1	1127	728	928	585	1161	894
P49419	comp20449_c0_seq1	2094	769	980	254	630	508
Q53H54	comp20516_c0_seq2	56	21	27	13	34	29
P78371	comp20586_c0_seq1	986	348	463	249	574	528
Q8IWF9	comp20593_c0_seq1	171	58	110	54	114	87
Q969L4	comp20601_c0_seq2	152	65	81	61	117	113
Q9UK23	comp20632_c0_seq1	207	75	115	56	171	111
Q9BVH7	comp20668_c0_seq1	46	24	39	28	74	49
Q9NRG0	comp20686_c0_seq1	91	40	67	45	61	87
Q07817	comp20750_c0_seq1	1609	790	1202	348	1017	729
Q86UN6	comp20791_c0_seq2	105	33	52	27	80	74
Q9H5I1	comp20803_c0_seq1	133	72	116	57	105	66
Q6ZMG9	comp20843_c0_seq1	267	94	136	48	118	69
Q96DW6	comp20910_c0_seq1	1264	415	587	183	446	370
A4IF30	comp20947_c0_seq1	180	71	94	57	147	127
Q8WXB1	comp20963_c0_seq1	132	74	90	68	114	69
Q9NQ89	comp20976_c1_seq1	461	181	237	198	346	271
Q9Y679	comp21148_c0_seq1	542	203	334	134	267	268
Q8IVU9	comp21171_c0_seq1	97	34	61	32	44	48
Q9BQA1	comp21172_c0_seq1	234	123	151	51	139	97
P22392	comp21201_c0_seq1	418	141	234	170	325	341
P61421	comp21225_c0_seq1	448	260	313	124	273	187
P48047	comp21250_c0_seq1	1082	518	603	423	737	653
P09496	comp21251_c0_seq1	1807	920	1164	639	1335	1192
P17612	comp21268_c0_seq1	585	300	385	267	600	526
Q9UI42	comp21299_c0_seq1	283	113	158	198	395	285
O60828	comp21339_c0_seq1	164	44	90	52	99	101
Q9UKX7	comp21362_c0_seq1	307	119	164	84	180	138
Q9H0H0	comp21368_c0_seq1	182	67	99	48	87	85
Q8N8V4	comp21386_c0_seq1	116	47	93	46	131	126
Q9Y2H9	comp21556_c0_seq1	1671	634	887	362	912	588
Q13367	comp21588_c0_seq1	749	190	314	124	317	252
Q9Y597	comp21627_c0_seq1	359	148	191	103	230	174
Q15599	comp21701_c0_seq1	1836	724	1007	490	1159	983
Q9Y4X1	comp21772_c0_seq1	255	103	164	92	183	136
P82912	comp21779_c0_seq1	168	75	95	47	114	91
Q9GZN2	comp21793_c0_seq1	130	58	67	93	160	164
Q5TGI0	comp21805_c0_seq1	91	47	79	35	76	58
O43752	comp21848_c0_seq1	153	57	94	47	106	104
O60519	comp21901_c0_seq2	632	263	302	82	438	267
P98095	comp21954_c0_seq1	2871	1285	1720	891	1823	1268
P48742	comp21989_c0_seq2	156	62	87	61	134	110
Q9Y4U1	comp22003_c0_seq2	53	29	32	30	45	37
Q9UDX3	comp22059_c0_seq1	268	88	126	43	84	44
Q8TCB0	comp22094_c0_seq2	173	109	133	75	162	110
Q5U5Q3	comp22187_c0_seq1	1860	611	998	492	1673	1237
O14508	comp22229_c0_seq1	40	43	41	14	45	37
Q9BTA9	comp22231_c0_seq1	1413	612	787	338	804	678
Q6GMV2	comp22246_c0_seq1	162	51	73	34	90	61
Q7Z3D4	comp22250_c0_seq1	66	33	68	25	65	61
P55010	comp22254_c0_seq1	3299	801	1286	467	1807	1583
Q9Y4L5	comp22277_c0_seq1	504	236	251	113	267	209
P49368	comp22309_c0_seq1	1138	315	479	218	490	483
Q9H6R6	comp22310_c0_seq1	128	59	87	54	119	108
Q8N0W4	comp22347_c0_seq1	125	69	100	56	106	81
P39748	comp22355_c0_seq1	104	14	26	16	38	34
Q92673	comp22365_c0_seq1	7121	4928	5790	2165	4287	2885
P67870	comp22412_c0_seq1	516	277	320	195	379	290
Q04323	comp22426_c0_seq1	224	67	129	51	115	92
Q9BW61	comp22447_c0_seq1	570	284	397	220	445	402
Q8IY57	comp22543_c0_seq1	100	36	80	28	73	78
P32239	comp22566_c0_seq1	115	47	78	43	165	108
O60760	comp22657_c0_seq1	82	29	37	27	49	34
Q15436	comp22665_c0_seq1	2754	928	1098	441	894	746
Q9UF47	comp22708_c0_seq1	1169	941	979	508	1129	821
P54252	comp22721_c0_seq2	106	27	42	20	71	59
P20618	comp22744_c0_seq1	749	283	374	238	529	363
P00439	comp22749_c0_seq2	1312	571	770	243	429	404
Q8N594	comp22755_c0_seq1	427	136	225	169	343	310
Q86TA1	comp22789_c0_seq1	242	104	158	74	147	110
Q9H0C1	comp22809_c0_seq2	102	37	55	34	58	66
Q9UMS4	comp22851_c0_seq1	707	318	414	166	405	234
Q9BSH5	comp22882_c0_seq1	46	42	40	19	40	34
O96015	comp23174_c0_seq1	133	79	111	48	114	130
Q8WYA0	comp23185_c0_seq1	629	157	256	114	307	338
Q13948	comp23189_c0_seq1	573	144	254	96	271	200
Q6X4U4	comp23247_c0_seq1	392	166	253	255	713	539
P14866	comp23257_c0_seq1	818	294	406	175	492	377
P51812	comp23264_c0_seq1	1416	545	859	222	562	424
Q9NX20	comp23276_c0_seq1	155	77	108	52	83	99
Q96D31	comp23323_c0_seq1	161	66	102	53	113	123
Q8NFC6	comp23357_c0_seq1	85	35	47	10	39	28
Q15004	comp23364_c0_seq1	76	40	55	49	86	82
Q9NRW4	comp23404_c0_seq1	59	38	42	16	25	24
P13984	comp23462_c0_seq1	221	77	116	47	140	104
Q4G0A6	comp23516_c0_seq2	528	298	366	105	273	189
Q96ER9	comp23566_c0_seq1	45	11	17	8	31	34
H3BPM6	comp23693_c0_seq1	43	17	24	20	26	43
Q9NTI5	comp23892_c0_seq1	138	54	69	29	44	32
Q5SVZ6	comp23996_c0_seq1	286	281	224	68	113	74
Q7L5D6	comp24094_c0_seq1	481	192	301	145	365	316
Q9NRX2	comp24113_c0_seq1	42	21	36	27	27	20
P57768	comp24155_c0_seq1	431	128	182	72	245	224
Q7Z7H8	comp24242_c0_seq1	54	20	28	18	32	33
P27540	comp24306_c0_seq1	1560	761	1088	456	1094	822
Q9NWL6	comp24315_c0_seq1	110	36	48	12	36	34
Q13601	comp24514_c0_seq1	331	57	145	58	113	117
Q5VU43	comp24537_c0_seq1	433	103	179	68	132	145
O14936	comp24577_c0_seq1	1596	733	938	377	697	517
Q9Y4K3	comp24650_c0_seq1	917	500	574	329	591	464
Q9H5F2	comp24674_c0_seq2	34	9	28	19	27	37
Q9P2L0	comp24677_c0_seq1	134	60	75	27	45	44
Q6ICH7	comp24726_c0_seq1	56	26	53	15	31	16
Q8WTW3	comp24909_c0_seq1	133	62	86	26	47	38
Q9Y4K4	comp25009_c0_seq1	847	430	565	218	464	299
A6NHT5	comp25047_c0_seq1	72	14	43	9	19	23
Q02156	comp25053_c0_seq1	674	356	501	193	418	311
Q96AT9	comp25072_c0_seq1	103	34	53	21	72	52
Q13126	comp25102_c0_seq2	246	70	106	47	101	99
P06681	comp25144_c0_seq1	4274	1964	2688	624	1292	1105
Q9UPN6	comp25166_c0_seq1	71	30	54	17	23	13
Q5XKL5	comp25179_c0_seq2	89	23	38	7	28	21
Q9Y242	comp25196_c0_seq1	49	8	11	12	10	12
Q9BZI7	comp25334_c0_seq1	603	188	351	164	341	313
Q5T848	comp25368_c0_seq2	129	47	96	22	43	22
O75822	comp25412_c0_seq1	583	162	281	98	219	258
Q5T8P6	comp25452_c0_seq1	121	37	46	19	31	36
Q96CS2	comp25540_c0_seq1	145	52	78	54	78	87
Q5GH73	comp25661_c0_seq1	140	77	92	45	93	82
Q13868	comp25684_c0_seq1	196	77	112	38	115	76
Q86WV1	comp25860_c0_seq1	840	530	570	267	429	170
O60264	comp25891_c0_seq1	956	365	504	373	666	498
